Designator,Mid X,Mid Y,Rotation,Layer
C101,3.0,23.35,0.0,top
C102,26.1125,10.35,0.0,top
C103,25.975,17.85,180.0,top
C104,25.975,22.6,180.0,top
C105,8.0,23.85,0.0,top
C106,11.0,28.85,270.0,top
C107,12.5,28.85,90.0,top
C108,15.5,30.35,90.0,top
C109,14.0,30.35,90.0,top
C110,10.5,25.85,180.0,top
C111,11.5,24.35,180.0,top
C112,14.5,17.35,270.0,top
C113,19.5,17.35,270.0,top
C114,25.975,21.1,0.0,top
C115,19.0,30.35,90.0,top
C116,32.43,36.26,270.0,top
C117,46.825,36.3,270.0,top
C118,60.86,36.3325,270.0,top
C119,75.4,36.29,270.0,top
C201,46.825,14.3,270.0,top
C202,32.43,14.26,270.0,top
C203,61.11,14.32,270.0,top
C204,75.4,14.29,270.0,top
C205,44.68,14.26,270.0,top
C206,59.075,14.3,270.0,top
C207,73.36,14.32,270.0,top
C208,87.65,14.29,270.0,top
C209,29.5875,22.6,0.0,top
J101,3.5,28.35,270.0,top
R103,25.975,19.6,180.0,top
U101,4.0,16.85,0.0,top
U102,18.2,23.65,90.0,top
U103,38.645,36.26,0.0,top
U104,52.94,36.3,0.0,top
U105,67.225,36.32,0.0,top
U106,81.52,36.29,0.0,top
U209,38.625,14.26,0.0,top
U210,52.92,14.3,0.0,top
U211,67.205,14.32,0.0,top
U212,81.5,14.29,0.0,top
U213,38.495,25.26,180.0,top
U214,52.79,25.3,180.0,top
U215,67.075,25.32,180.0,top
U216,81.37,25.29,180.0,top
U217,27.725,28.37,90.0,top
Y101,25.975,14.1,90.0,top
